config_id,mean_obj,std_obj,min_obj,max_obj,mean_time,mean_vehicles,mean_distance,mean_memory_increase,mean_best_iter_memory,mean_load_balance_cv,mean_load_balance_std,mean_load_balance_range,population_size,generations,mutation_rate,tournament_k
28,2230195.92,95210.12424536764,2124124.29,2308263.21,0.8348538080851237,1.0,107.73893333333335,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.05,3
29,2151301.3200000003,88910.12570336898,2079151.4700000002,2250628.2,1.2297014395395915,1.0,103.9276,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.05,5
30,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,1.581935962041219,1.0,103.32533333333333,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.05,7
31,2151301.3200000003,88910.12570336898,2079151.4700000002,2250628.2,0.8428107897440592,1.0,103.9276,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.1,3
32,2107879.6200000006,49758.61540745992,2079151.4700000002,2165335.9200000004,1.2210357189178467,1.0,101.82993333333333,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.1,5
33,2079151.47,0.0,2079151.4700000002,2079151.4700000002,1.6156586011250813,1.0,100.4421,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.1,7
34,2273990.22,40464.20560744023,2250628.2,2320714.2600000002,0.8732629617055258,1.0,109.8546,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.15,3
35,2136310.3800000004,99002.13622525656,2079151.4700000002,2250628.2,1.2259516716003418,1.0,103.20339999999999,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.15,5
36,2265831.66,20134.7248944599,2250628.2,2288666.5199999996,1.5990997155507405,1.0,109.46046666666666,0.0,0.0401734375,0.0,0.0,0.0,100,200,0.15,7
37,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,0.6491323312123617,1.0,103.32533333333333,0.0,0.0401734375,0.0,0.0,0.0,150,100,0.05,3
